Page URL,Page Title,Title Length,Meta Description Length,Word Count,Load Time,H1 Count,Images Without Alt,SEO Issues Count,SEO Issues List
https://umiwellnesscenter.com/,Home Page - Umi Wellness Center,31,24,228,1.42,5,0,4,Meta description too short (< 120 characters); Multiple H1 tags found (5); 5 images with empty alt text; Low content (< 300 words)
https://umiwellnesscenter.com/about-us/,About Us - Umi Wellness Center,30,126,492,0.79,10,0,1,Multiple H1 tags found (10)
https://umiwellnesscenter.com/how-umi-works/,How Umi Works - Umi Wellness Center,35,0,686,0.08,19,0,3,Missing meta description; Multiple H1 tags found (19); 2 images with empty alt text
https://umiwellnesscenter.com/faqs/,FAQs - Umi Wellness Center,26,0,1273,0.07,3,0,4,Title too short (< 30 characters); Missing meta description; Multiple H1 tags found (3); 1 images with empty alt text
https://umiwellnesscenter.com/providers/,Providers - Umi Wellness Center,31,154,703,0.07,5,0,2,Multiple H1 tags found (5); 4 images with empty alt text
https://umiwellnesscenter.com/staff-volunteers/,Staff & Volunteers - Umi Wellness Center,40,0,466,0.07,3,0,3,Missing meta description; Multiple H1 tags found (3); 2 images with empty alt text
https://umiwellnesscenter.com/founders/,Founders - Umi Wellness Center,30,0,903,0.77,2,0,3,Missing meta description; Multiple H1 tags found (2); 2 images with empty alt text
https://umiwellnesscenter.com/privacy-policy/,Privacy Policy - Umi Wellness Center,36,341,709,0.66,1,0,1,Meta description too long (> 160 characters)
https://umiwellnesscenter.com/upcoming-umi-events/,Upcoming Umi Events - Umi Wellness Center,41,0,224,0.07,9,0,4,Missing meta description; Multiple H1 tags found (9); 3 images with empty alt text; Low content (< 300 words)
https://umiwellnesscenter.com/zebra-heard/,Zebra Heard - Umi Wellness Center,33,157,300,0.07,7,0,2,Multiple H1 tags found (7); 1 images with empty alt text
https://umiwellnesscenter.com/roads-we-travel/,Roads We Travel - Umi Wellness Center,37,0,645,0.07,9,0,3,Missing meta description; Multiple H1 tags found (9); 2 images with empty alt text
https://umiwellnesscenter.com/offerings/,Offerings - Umi Wellness Center,31,0,453,0.07,7,0,3,Missing meta description; Multiple H1 tags found (7); 6 images with empty alt text
https://umiwellnesscenter.com/umi-calendar/,Umi Calendar - Umi Wellness Center,34,0,169,0.94,4,0,4,Missing meta description; Multiple H1 tags found (4); 2 images with empty alt text; Low content (< 300 words)
https://umiwellnesscenter.com/patient-advocacy-consulting/,Patient Advocacy Consulting - Umi Wellness Center,49,0,606,0.78,9,0,3,Missing meta description; Multiple H1 tags found (9); 2 images with empty alt text
https://umiwellnesscenter.com/offerings/classes/,Community Classes - Umi Wellness Center,39,186,310,0.08,5,0,3,Meta description too long (> 160 characters); Multiple H1 tags found (5); 3 images with empty alt text
https://umiwellnesscenter.com/umi-moves/,Umi Moves! Vivid Tissue & Intelligent Bones - Umi Wellness Center,65,0,606,0.81,8,0,4,Title too long (> 60 characters); Missing meta description; Multiple H1 tags found (8); 1 images with empty alt text
https://umiwellnesscenter.com/community-programs/,Community Programs - Umi Wellness Center,40,0,146,0.08,3,0,4,Missing meta description; Multiple H1 tags found (3); 6 images with empty alt text; Low content (< 300 words)
https://umiwellnesscenter.com/u-mi-news/,U/mi News - Umi Wellness Center,31,16,492,0.71,0,0,2,Meta description too short (< 120 characters); Missing H1 tag
https://umiwellnesscenter.com/contact-us/,Contact Us - Umi Wellness Center,32,0,147,0.08,4,0,4,Missing meta description; Multiple H1 tags found (4); 1 images with empty alt text; Low content (< 300 words)
https://umiwellnesscenter.com/#www.facebook.com/umiwellnesscenter/,Home Page - Umi Wellness Center,31,24,228,0.08,5,0,4,Meta description too short (< 120 characters); Multiple H1 tags found (5); 5 images with empty alt text; Low content (< 300 words)
https://umiwellnesscenter.com/about-us/#www.facebook.com/umiwellnesscenter/,About Us - Umi Wellness Center,30,126,492,0.08,10,0,1,Multiple H1 tags found (10)
https://umiwellnesscenter.com/how-umi-works/#www.facebook.com/umiwellnesscenter/,How Umi Works - Umi Wellness Center,35,0,686,0.07,19,0,3,Missing meta description; Multiple H1 tags found (19); 2 images with empty alt text
https://umiwellnesscenter.com/faqs/#www.facebook.com/umiwellnesscenter/,FAQs - Umi Wellness Center,26,0,1273,0.07,3,0,4,Title too short (< 30 characters); Missing meta description; Multiple H1 tags found (3); 1 images with empty alt text
